Wall time,Step,Value
1727454932.872368,120,0.003942930139601231
1727454947.8802779,240,0.00041697575943544507
1727454962.4373553,360,0.0024476239923387766
1727454978.1901376,480,0.0006110734539106488
1727454993.759256,600,0.0013138293288648129
1727455010.5794501,720,0.002719082636758685
1727455027.4602473,840,0.005400656256824732
1727455044.8485224,960,0.004032989032566547
1727455061.9727077,1080,0.008409644477069378
1727455079.53124,1200,0.01200743205845356
1727455096.8272278,1320,0.018446872010827065
1727455114.7198207,1440,0.022574862465262413
1727455132.3405695,1560,0.03844674304127693
1727455150.878467,1680,0.06091507151722908
1727455169.0655198,1800,0.07373030483722687
1727455187.9106188,1920,0.09710618108510971
1727455206.4396322,2040,0.11769548058509827
1727455225.6609018,2160,0.13341425359249115
1727455244.6149788,2280,0.16138488054275513
1727455264.094162,2400,0.16979734599590302
1727455283.0389163,2520,0.17705194652080536
1727455302.401591,2640,0.18798525631427765
1727455321.517935,2760,0.19324807822704315
1727455341.8439193,2880,0.20825207233428955
1727455361.6179957,3000,0.2163688689470291
1727455381.3450594,3120,0.2281729131937027
1727455401.0524318,3240,0.23259581625461578
1727455421.0663304,3360,0.245133176445961
1727455440.1946657,3480,0.2604847550392151
1727455459.9299955,3600,0.26681897044181824
1727455479.06144,3720,0.2754566967487335
1727455498.424021,3840,0.28195720911026
1727455517.4033685,3960,0.29266780614852905
1727455536.6543682,4080,0.3001517951488495
1727455555.5161073,4200,0.3045908212661743
1727455574.8102226,4320,0.31158962845802307
1727455593.8212764,4440,0.3230002522468567
1727455613.271299,4560,0.324420690536499
1727455632.1595883,4680,0.3348686695098877
1727455651.5210412,4800,0.33436936140060425
1727455670.245931,4920,0.3495277166366577
1727455689.4973164,5040,0.3617877662181854
1727455708.3296335,5160,0.36074572801589966
1727455727.5796514,5280,0.3717527389526367
1727455746.29726,5400,0.37767091393470764
1727455765.539583,5520,0.38536354899406433
1727455784.158566,5640,0.4001649022102356
1727455803.3351161,5760,0.40700459480285645
1727455822.085355,5880,0.406680703163147
1727455841.1756544,6000,0.41084304451942444
1727455859.7606478,6120,0.41984236240386963
1727455879.0058846,6240,0.41856563091278076
1727455897.812868,6360,0.42485931515693665
1727455916.8896763,6480,0.434878945350647
1727455936.0663626,6600,0.4417983591556549
1727455955.9102392,6720,0.4550299644470215
1727455975.1743066,6840,0.46727994084358215
1727455994.3679683,6960,0.47641053795814514
1727456013.126486,7080,0.48003754019737244
1727456032.1958144,7200,0.4770236909389496
1727456050.8268247,7320,0.4929709732532501
1727456070.0218477,7440,0.5015316009521484
1727456088.5741873,7560,0.5135455131530762
1727456107.5839355,7680,0.5236712694168091
1727456126.2269802,7800,0.5375534296035767
1727456145.2926908,7920,0.561161458492279
1727456163.9243522,8040,0.5787391662597656
1727456183.007589,8160,0.5938475131988525
1727456201.5974958,8280,0.5931273698806763
1727456220.5927737,8400,0.6256725788116455
1727456239.3733635,8520,0.641563355922699
1727456258.8374965,8640,0.6656585931777954
1727456277.6067846,8760,0.6714633107185364
1727456297.2519662,8880,0.6888985633850098
1727456316.2210875,9000,0.6939355134963989
1727456335.545374,9120,0.7106558084487915
1727456354.343891,9240,0.7323764562606812
1727456373.5845423,9360,0.7513331770896912
1727456392.4115095,9480,0.7516357898712158
1727456411.7425501,9600,0.7572153806686401
1727456430.5411465,9720,0.7607372403144836
1727456449.8579082,9840,0.7664158344268799
1727456468.6222794,9960,0.7966449856758118
1727456487.8416934,10080,0.7975440621376038
1727456506.6407008,10200,0.8168870806694031
1727456525.7687368,10320,0.8114761710166931
1727456544.452083,10440,0.8075758814811707
1727456563.7239456,10560,0.8127005696296692
1727456582.3820374,10680,0.8348050713539124
1727456601.5345845,10800,0.8395932912826538
1727456620.3699017,10920,0.8533599972724915
1727456639.451963,11040,0.8745442032814026
1727456658.1063397,11160,0.8686167001724243
1727456677.6697302,11280,0.8706156611442566
1727456696.7276468,11400,0.8935534954071045
1727456715.9446325,11520,0.894554078578949
1727456734.6025956,11640,0.8834699988365173
1727456753.8079944,11760,0.9075213670730591
1727456772.4048944,11880,0.916850209236145
1727456791.528202,12000,0.9341371059417725
1727456810.3212154,12120,0.9382777810096741
1727456829.7944283,12240,0.9391849637031555
1727456848.4465492,12360,0.9537989497184753
1727456867.7306097,12480,0.9379934668540955
1727456886.3380702,12600,0.9439501166343689
1727456905.4949946,12720,0.9852305054664612
1727456924.3495326,12840,0.986432671546936
1727456943.574619,12960,0.9879376888275146
1727456962.344925,13080,0.9865692853927612
1727456981.7706804,13200,0.9814833402633667
1727457000.581886,13320,1.015859842300415
1727457020.1882637,13440,1.021160364151001
1727457038.8615558,13560,1.0340678691864014
1727457058.2106588,13680,1.0312579870224
1727457076.9434237,13800,1.0163707733154297
1727457096.156754,13920,1.0290213823318481
1727457115.1105034,14040,1.0455691814422607
1727457134.3730206,14160,1.0293855667114258
1727457153.212919,14280,1.067376732826233
1727457172.6473253,14400,1.0438734292984009
1727457191.6081154,14520,1.0346276760101318
1727457210.7171688,14640,1.0342613458633423
1727457229.5722573,14760,1.0257213115692139
1727457248.8835526,14880,1.0238890647888184
1727457267.58527,15000,1.0326182842254639
1727457286.8533711,15120,1.0485010147094727
1727457305.6556282,15240,1.0665125846862793
1727457324.9401712,15360,1.0575177669525146
1727457343.6588895,15480,1.071280598640442
1727457363.006805,15600,1.056847333908081
1727457381.7520332,15720,1.076724648475647
1727457400.9721937,15840,1.0842394828796387
1727457419.7640388,15960,1.0902249813079834
1727457439.1005273,16080,1.0880136489868164
1727457457.891401,16200,1.0755411386489868
1727457476.976374,16320,1.0737344026565552
1727457495.8451378,16440,1.0735411643981934
1727457515.026997,16560,1.084003210067749
1727457533.78328,16680,1.0732946395874023
1727457553.0973637,16800,1.0886276960372925
1727457571.930392,16920,1.0888036489486694
1727457591.2392097,17040,1.06316339969635
1727457610.2933161,17160,1.0727460384368896
1727457629.8066878,17280,1.0567790269851685
1727457648.6448762,17400,1.068950891494751
1727457668.020392,17520,1.0686700344085693
1727457686.921833,17640,1.056456446647644
1727457706.2695878,17760,1.0685975551605225
1727457725.1263473,17880,1.091578722000122
1727457744.5763748,18000,1.0882456302642822
1727457763.375748,18120,1.0897201299667358
1727457782.7164218,18240,1.1004295349121094
1727457801.7051604,18360,1.0930060148239136
1727457821.0353699,18480,1.0834238529205322
1727457839.951722,18600,1.0983840227127075
1727457859.9867296,18720,1.0889192819595337
1727457879.0710576,18840,1.1013118028640747
1727457898.5792415,18960,1.0989387035369873
1727457917.5316906,19080,1.0962793827056885
1727457936.945808,19200,1.1013458967208862
1727457955.8307111,19320,1.1080842018127441
1727457975.3059244,19440,1.096651315689087
1727457994.249405,19560,1.09144926071167
1727458013.6931455,19680,1.099854826927185
1727458032.6203487,19800,1.0789180994033813
1727458052.0894985,19920,1.0947039127349854
1727458071.242907,20040,1.0696979761123657
1727458090.6518912,20160,1.077019453048706
1727458109.7203102,20280,1.0956312417984009
1727458129.1631618,20400,1.0970515012741089
1727458148.1296308,20520,1.117851972579956
1727458167.5991657,20640,1.1031776666641235
1727458186.4277978,20760,1.1111972332000732
1727458205.8870177,20880,1.0826245546340942
1727458224.8941047,21000,1.096555233001709
1727458244.2762332,21120,1.1010079383850098
1727458263.2131946,21240,1.1025160551071167
1727458282.6300116,21360,1.0869495868682861
1727458301.4587467,21480,1.0953108072280884
1727458320.7427976,21600,1.1258044242858887
1727458339.6123343,21720,1.114727258682251
1727458359.1424916,21840,1.1145827770233154
1727458378.0240397,21960,1.0979058742523193
1727458397.348422,22080,1.1169049739837646
1727458416.3986664,22200,1.1024537086486816
1727458436.2280576,22320,1.0945736169815063
1727458455.3464322,22440,1.112987756729126
1727458474.7470133,22560,1.1308178901672363
1727458493.5944407,22680,1.1102206707000732
1727458512.963882,22800,1.1128259897232056
1727458531.8372154,22920,1.1015206575393677
1727458551.2164266,23040,1.101929783821106
1727458570.0450492,23160,1.0939209461212158
1727458589.502601,23280,1.0934115648269653
1727458608.3464105,23400,1.1092331409454346
1727458627.7043548,23520,1.114324927330017
1727458646.6366293,23640,1.1145820617675781
1727458666.068801,23760,1.125331997871399
1727458684.9734433,23880,1.1163986921310425
1727458704.2572565,24000,1.1224836111068726
1727458723.2642863,24120,1.123659610748291
1727458742.5981183,24240,1.1257296800613403
1727458761.442212,24360,1.1223725080490112
1727458780.8776112,24480,1.1166598796844482
1727458799.735948,24600,1.1339741945266724
1727458819.077827,24720,1.1146998405456543
1727458838.1844432,24840,1.1083929538726807
1727458857.4459724,24960,1.1139849424362183
1727458876.4038348,25080,1.1227824687957764
1727458895.943154,25200,1.1186894178390503
1727458914.7806318,25320,1.1242456436157227
1727458934.0969028,25440,1.1288893222808838
1727458953.0072923,25560,1.1309908628463745
1727458972.6025753,25680,1.135974645614624
1727458991.4709496,25800,1.1256380081176758
1727459010.8175452,25920,1.128271460533142
1727459029.8770988,26040,1.1251814365386963
1727459049.2237628,26160,1.1309345960617065
1727459068.1716473,26280,1.1106470823287964
1727459087.5989056,26400,1.1289511919021606
1727459106.5230346,26520,1.1218043565750122
1727459125.7848253,26640,1.1479862928390503
1727459144.7571528,26760,1.1231203079223633
1727459164.1058252,26880,1.1307138204574585
