Run,Step,Epoch,Episode,Reward,log/Episode_Reward/end_effector_position_tracking,log/Episode_Reward/end_effector_orientation_tracking,log/Episode_Reward/action_rate,log/Episode_Reward/joint_vel,log/Metrics/ee_pose/position_error,log/Metrics/ee_pose/orientation_error,log/Episode_Termination/time_out
10,1,1,1,-0.0001958334614755,0.0,0.0,0.0,0.0,0.0,0.0,0
10,2,1,1,-0.0001927862613229,0.0,0.0,0.0,0.0,0.0,0.0,0
10,3,1,1,-0.0001926472177729,0.0,0.0,0.0,0.0,0.0,0.0,0
10,4,1,1,-0.0001918595517054,0.0,0.0,0.0,0.0,0.0,0.0,0
10,5,1,1,-0.0001918478956213,0.0,0.0,0.0,0.0,0.0,0.0,0
10,6,1,1,-0.0001905902317957,0.0,0.0,0.0,0.0,0.0,0.0,0
10,7,1,1,-0.000194689433556,0.0,0.0,0.0,0.0,0.0,0.0,0
10,8,1,1,-0.0001898809568956,0.0,0.0,0.0,0.0,0.0,0.0,0
10,9,1,1,-0.0001878351031336,0.0,0.0,0.0,0.0,0.0,0.0,0
10,10,1,1,-0.0001862433564383,0.0,0.0,0.0,0.0,0.0,0.0,0
10,11,1,1,-0.0001849935797508,0.0,0.0,0.0,0.0,0.0,0.0,0
10,12,1,1,-0.0001856289309216,0.0,0.0,0.0,0.0,0.0,0.0,0
10,13,1,1,-0.0001859652693383,0.0,0.0,0.0,0.0,0.0,0.0,0
10,14,1,1,-0.0001877640897873,0.0,0.0,0.0,0.0,0.0,0.0,0
10,15,1,1,-0.0001873790752142,0.0,0.0,0.0,0.0,0.0,0.0,0
10,16,1,1,-0.0001881399366538,0.0,0.0,0.0,0.0,0.0,0.0,0
10,17,1,1,-0.000187820958672,0.0,0.0,0.0,0.0,0.0,0.0,0
10,18,1,1,-0.0001890346757136,0.0,0.0,0.0,0.0,0.0,0.0,0
10,19,1,1,-0.0001877293980214,0.0,0.0,0.0,0.0,0.0,0.0,0
10,20,1,1,-0.0001870122650871,0.0,0.0,0.0,0.0,0.0,0.0,0
10,21,1,1,-0.0001852626883191,0.0,0.0,0.0,0.0,0.0,0.0,0
10,22,1,1,-0.0001838838506955,0.0,0.0,0.0,0.0,0.0,0.0,0
10,23,1,1,-0.0001821319019654,0.0,0.0,0.0,0.0,0.0,0.0,0
10,24,1,1,-0.0001808298256946,0.0,0.0,0.0,0.0,0.0,0.0,0
10,25,1,1,-0.000175260938704,0.0,0.0,0.0,0.0,0.0,0.0,0
10,26,1,1,-0.0001742807071423,0.0,0.0,0.0,0.0,0.0,0.0,0
10,27,1,1,-0.0001746438647387,0.0,0.0,0.0,0.0,0.0,0.0,0
10,28,1,1,-0.0001733148383209,0.0,0.0,0.0,0.0,0.0,0.0,0
10,29,1,1,-0.0001745837507769,0.0,0.0,0.0,0.0,0.0,0.0,0
10,30,1,1,-0.0001733435346977,0.0,0.0,0.0,0.0,0.0,0.0,0
10,31,1,1,-0.0001740464213071,0.0,0.0,0.0,0.0,0.0,0.0,0
10,32,2,1,-0.0001734986290102,0.0,0.0,0.0,0.0,0.0,0.0,0
10,33,2,1,-0.0001740354782668,0.0,0.0,0.0,0.0,0.0,0.0,0
10,34,2,1,-0.0001739156432449,0.0,0.0,0.0,0.0,0.0,0.0,0
10,35,2,1,-0.0001733788085402,0.0,0.0,0.0,0.0,0.0,0.0,0
10,36,2,1,-0.0001728923816699,0.0,0.0,0.0,0.0,0.0,0.0,0
10,37,2,1,-0.0001718568964861,0.0,0.0,0.0,0.0,0.0,0.0,0
10,38,2,1,-0.000170792438439,0.0,0.0,0.0,0.0,0.0,0.0,0
10,39,2,1,-0.0001702786539681,0.0,0.0,0.0,0.0,0.0,0.0,0
10,40,2,1,-0.0001701762957964,0.0,0.0,0.0,0.0,0.0,0.0,0
10,41,2,1,-0.0001686958130449,0.0,0.0,0.0,0.0,0.0,0.0,0
10,42,2,1,-0.0001696356484899,0.0,0.0,0.0,0.0,0.0,0.0,0
10,43,2,1,-0.0001671609352342,0.0,0.0,0.0,0.0,0.0,0.0,0
10,44,2,1,-0.0001663541333982,0.0,0.0,0.0,0.0,0.0,0.0,0
10,45,2,1,-0.0001655782834859,0.0,0.0,0.0,0.0,0.0,0.0,0
10,46,2,1,-0.0001658614201005,0.0,0.0,0.0,0.0,0.0,0.0,0
10,47,2,1,-0.0001645185693632,0.0,0.0,0.0,0.0,0.0,0.0,0
10,48,2,1,-0.0001637463574297,0.0,0.0,0.0,0.0,0.0,0.0,0
10,49,2,1,-0.0001605193683644,0.0,0.0,0.0,0.0,0.0,0.0,0
10,50,2,1,-0.0001587262668181,0.0,0.0,0.0,0.0,0.0,0.0,0
10,51,2,1,-0.0001586613652762,0.0,0.0,0.0,0.0,0.0,0.0,0
10,52,2,1,-0.0001591584441484,0.0,0.0,0.0,0.0,0.0,0.0,0
10,53,2,1,-0.0001588126033311,0.0,0.0,0.0,0.0,0.0,0.0,0
10,54,2,1,-0.0001566297578392,0.0,0.0,0.0,0.0,0.0,0.0,0
10,55,2,1,-0.0001541516248835,0.0,0.0,0.0,0.0,0.0,0.0,0
10,56,2,1,-0.0001534909097244,0.0,0.0,0.0,0.0,0.0,0.0,0
10,57,2,1,-0.0001501804945291,0.0,0.0,0.0,0.0,0.0,0.0,0
10,58,2,1,-0.0001497142511652,0.0,0.0,0.0,0.0,0.0,0.0,0
10,59,2,1,-0.0001481594226788,0.0,0.0,0.0,0.0,0.0,0.0,0
10,60,2,1,-0.0001485634420532,0.0,0.0,0.0,0.0,0.0,0.0,0
10,61,2,1,-0.0001460305938962,0.0,0.0,0.0,0.0,0.0,0.0,0
10,62,2,1,-0.000145293015521,0.0,0.0,0.0,0.0,0.0,0.0,0
10,63,2,1,-0.0001449316041544,0.0,0.0,0.0,0.0,0.0,0.0,0
10,64,3,1,-0.0001464190718252,0.0,0.0,0.0,0.0,0.0,0.0,0
10,65,3,1,-0.0001459436316508,0.0,0.0,0.0,0.0,0.0,0.0,0
10,66,3,1,-0.0001471250143367,0.0,0.0,0.0,0.0,0.0,0.0,0
10,67,3,1,-0.0001460269413655,0.0,0.0,0.0,0.0,0.0,0.0,0
10,68,3,1,-0.0001465396635467,0.0,0.0,0.0,0.0,0.0,0.0,0
10,69,3,1,-0.0001475435128668,0.0,0.0,0.0,0.0,0.0,0.0,0
10,70,3,1,-0.0001476643374189,0.0,0.0,0.0,0.0,0.0,0.0,0
10,71,3,1,-0.0001488940179115,0.0,0.0,0.0,0.0,0.0,0.0,0
10,72,3,1,-0.0001492269366281,0.0,0.0,0.0,0.0,0.0,0.0,0
10,73,3,1,-0.0001478677004342,0.0,0.0,0.0,0.0,0.0,0.0,0
10,74,3,1,-0.000146314050653,0.0,0.0,0.0,0.0,0.0,0.0,0
10,75,3,1,-0.0001459284103475,0.0,0.0,0.0,0.0,0.0,0.0,0
10,76,3,1,-0.0001473533920943,0.0,0.0,0.0,0.0,0.0,0.0,0
10,77,3,1,-0.0001490062859375,0.0,0.0,0.0,0.0,0.0,0.0,0
10,78,3,1,-0.0001475007156841,0.0,0.0,0.0,0.0,0.0,0.0,0
10,79,3,1,-0.0001458156039007,0.0,0.0,0.0,0.0,0.0,0.0,0
10,80,3,1,-0.000144845500472,0.0,0.0,0.0,0.0,0.0,0.0,0
10,81,3,1,-0.0001452983706258,0.0,0.0,0.0,0.0,0.0,0.0,0
10,82,3,1,-0.0001470821298426,0.0,0.0,0.0,0.0,0.0,0.0,0
10,83,3,1,-0.0001486132969148,0.0,0.0,0.0,0.0,0.0,0.0,0
10,84,3,1,-0.0001470305869588,0.0,0.0,0.0,0.0,0.0,0.0,0
10,85,3,1,-0.0001453540171496,0.0,0.0,0.0,0.0,0.0,0.0,0
10,86,3,1,-0.0001442835346097,0.0,0.0,0.0,0.0,0.0,0.0,0
10,87,3,1,-0.0001443700166419,0.0,0.0,0.0,0.0,0.0,0.0,0
10,88,3,1,-0.000145819663885,0.0,0.0,0.0,0.0,0.0,0.0,0
10,89,3,1,-0.0001479650236433,0.0,0.0,0.0,0.0,0.0,0.0,0
10,90,3,1,-0.000146968071931,0.0,0.0,0.0,0.0,0.0,0.0,0
10,91,3,1,-0.0001455753372283,0.0,0.0,0.0,0.0,0.0,0.0,0
10,92,3,1,-0.0001449663832318,0.0,0.0,0.0,0.0,0.0,0.0,0
