Wall time,Step,Value
1727268670.9087312,120,-0.09928400814533234
1727268686.7878149,240,-0.16932189464569092
1727268702.7950735,360,-0.16884437203407288
1727268718.7267907,480,-0.16737231612205505
1727268734.8257785,600,-0.1471325159072876
1727268750.5139453,720,-0.13298049569129944
1727268766.2061288,840,-0.11847008764743805
1727268781.800616,960,-0.11487755179405212
1727268797.6708827,1080,-0.11118212342262268
1727268814.1276894,1200,-0.1071743369102478
1727268830.2594936,1320,-0.10323762148618698
1727268846.3270636,1440,-0.1012364849448204
1727268862.4636526,1560,-0.09837538003921509
1727268878.3285072,1680,-0.09711667150259018
1727268894.5054328,1800,-0.09772609919309616
1727268910.8132095,1920,-0.0976758673787117
1727268927.2568493,2040,-0.09863841533660889
1727268943.650148,2160,-0.09750298410654068
1727268960.6763492,2280,-0.09475040435791016
1727268977.6546414,2400,-0.09206878393888474
1727268994.2109108,2520,-0.09154152125120163
1727269010.7641983,2640,-0.0881243422627449
1727269027.4754932,2760,-0.08972475677728653
1727269044.4417744,2880,-0.09006750583648682
1727269061.298414,3000,-0.08979850262403488
1727269078.1094518,3120,-0.08617284148931503
1727269095.1236503,3240,-0.08472207933664322
1727269112.2849233,3360,-0.08475299179553986
1727269129.3918424,3480,-0.08397678285837173
1727269146.604701,3600,-0.08253522962331772
1727269163.8303685,3720,-0.08234371989965439
1727269181.0481877,3840,-0.08165676146745682
1727269198.354073,3960,-0.08066379278898239
1727269215.6664395,4080,-0.07806579768657684
1727269233.1849723,4200,-0.076265349984169
1727269250.9719706,4320,-0.07533106952905655
1727269268.7637675,4440,-0.07363314181566238
1727269286.9187033,4560,-0.07311759144067764
1727269304.3033726,4680,-0.07214372605085373
1727269322.158307,4800,-0.0710395872592926
1727269339.8463109,4920,-0.07018757611513138
1727269357.5082111,5040,-0.06974650174379349
1727269375.3259752,5160,-0.0694991946220398
1727269393.3057125,5280,-0.06902828812599182
1727269411.2802343,5400,-0.06783875823020935
1727269429.1636593,5520,-0.06676341593265533
1727269446.9744916,5640,-0.06554199755191803
1727269464.8575692,5760,-0.0649866834282875
1727269482.6537535,5880,-0.06533674150705338
1727269500.819587,6000,-0.0648348405957222
1727269518.8868747,6120,-0.06383028626441956
