Wall time,Step,Value
1727775767.822807,120,-9.774025917053223
1727775784.0688114,240,-13.597163200378418
1727775800.4069548,360,-13.613576889038086
1727775816.7737834,480,-10.984444618225098
1727775833.292306,600,-8.449803352355957
1727775849.576476,720,-6.552158832550049
1727775865.972638,840,-5.540751934051514
1727775882.3764317,960,-4.689047336578369
1727775898.9557283,1080,-4.1936421394348145
1727775915.5921235,1200,-3.777613878250122
1727775932.131262,1320,-3.528413772583008
1727775948.8776355,1440,-3.2283878326416016
1727775965.6533773,1560,-3.049168348312378
1727775982.6127393,1680,-2.8095312118530273
1727775999.5895123,1800,-2.825101375579834
1727776016.6411939,1920,-2.7263081073760986
1727776033.683911,2040,-2.6176843643188477
1727776050.8750472,2160,-2.6176273822784424
1727776068.0049942,2280,-2.51540470123291
1727776085.3982651,2400,-2.588376045227051
1727776102.4782677,2520,-2.2108993530273438
1727776119.7902176,2640,-2.1794581413269043
1727776137.4418054,2760,-2.1493232250213623
1727776154.7748423,2880,-2.02492356300354
1727776172.107134,3000,-1.9408161640167236
1727776189.2463424,3120,-1.8274089097976685
1727776206.825543,3240,-1.8568437099456787
1727776224.879071,3360,-1.786876916885376
1727776242.5657184,3480,-1.7597063779830933
1727776260.3832116,3600,-1.7103773355484009
1727776277.945747,3720,-1.660063624382019
1727776295.6045873,3840,-1.6091006994247437
1727776313.4568996,3960,-1.6385375261306763
1727776331.482475,4080,-1.5801520347595215
1727776349.4280715,4200,-1.5625934600830078
1727776367.44075,4320,-1.556769609451294
1727776385.7426527,4440,-1.567409873008728
1727776403.9195318,4560,-1.5519537925720215
1727776422.2678664,4680,-1.5055112838745117
1727776440.6435792,4800,-1.5023657083511353
1727776458.760753,4920,-1.427689552307129
1727776476.9392543,5040,-1.439975380897522
1727776495.4935453,5160,-1.4691616296768188
1727776513.9560537,5280,-1.463633418083191
1727776532.2725396,5400,-1.4381475448608398
1727776550.653374,5520,-1.4042422771453857
1727776569.291903,5640,-1.425736427307129
1727776587.6961265,5760,-1.4143691062927246
1727776606.1278367,5880,-1.396672010421753
1727776624.7482817,6000,-1.41989266872406
1727776643.3578777,6120,-1.3885592222213745
1727776662.0601974,6240,-1.3833130598068237
1727776680.637372,6360,-1.377816081047058
1727776699.340767,6480,-1.3850035667419434
1727776717.9316764,6600,-1.3766883611679077
1727776736.8121634,6720,-1.3769824504852295
1727776755.5666904,6840,-1.397473692893982
1727776774.115512,6960,-1.4095053672790527
1727776792.7342556,7080,-1.3986175060272217
1727776811.5845942,7200,-1.4114031791687012
1727776830.245733,7320,-1.40603768825531
1727776849.0453298,7440,-1.412741780281067
1727776867.780829,7560,-1.3975586891174316
1727776886.6107564,7680,-1.4059197902679443
1727776905.3092976,7800,-1.4032132625579834
1727776924.0957918,7920,-1.3878517150878906
1727776942.9982195,8040,-1.3800373077392578
1727776961.6972396,8160,-1.3794136047363281
1727776980.4872653,8280,-1.3709352016448975
1727776999.4230206,8400,-1.3810211420059204
1727777018.1825616,8520,-1.3655558824539185
1727777036.9673748,8640,-1.3707211017608643
1727777056.3008442,8760,-1.3532322645187378
1727777075.05983,8880,-1.3649691343307495
1727777093.7478828,9000,-1.3553376197814941
1727777112.5395308,9120,-1.364872694015503
1727777131.4464886,9240,-1.356062889099121
1727777150.2423453,9360,-1.3431614637374878
1727777168.9433336,9480,-1.3385887145996094
1727777187.722626,9600,-1.3369733095169067
1727777206.3634782,9720,-1.321509838104248
1727777225.1290736,9840,-1.317588448524475
1727777243.8715572,9960,-1.3143216371536255
1727777262.5619383,10080,-1.3132286071777344
1727777281.1931994,10200,-1.303436279296875
1727777300.3597493,10320,-1.297293782234192
1727777319.0915854,10440,-1.3033992052078247
1727777337.8413906,10560,-1.3068746328353882
1727777356.51098,10680,-1.3052947521209717
1727777375.3857412,10800,-1.307003140449524
1727777394.0858161,10920,-1.3057031631469727
1727777412.808044,11040,-1.3050991296768188
1727777431.6526973,11160,-1.3130475282669067
1727777450.324389,11280,-1.2930021286010742
1727777469.0510428,11400,-1.3069276809692383
1727777487.8322036,11520,-1.3029823303222656
1727777506.4400742,11640,-1.3068610429763794
